Task,Output,Dice,IoU,Precision,Recall,AUPR,Accuracy,Specificity,ROC_AUC,MeanDicePerImage,TP,FP,TN,FN
Microaneurysm,Pixel mask,0.518512059782904,0.34999411450283,0.48276293445337,0.559979129103169,0.198995308740929,NaN,NaN,NaN,0.49068858405452,181375,194327,264781521,142521
Exudates (hard),Pixel mask,0.731500472780268,0.576665940415093,0.744402999650174,0.719037597263214,0.594804746641481,NaN,NaN,NaN,0.68011925806393,2572659,883344,260838480,1005261
Exudates (soft),Pixel mask,0.545970888813656,0.375488279163955,0.712644361619607,0.442482866022702,0.332973174210167,NaN,NaN,NaN,0.300644064161633,263672,106319,264597533,332220
Haemorrhage - mask,Pixel mask,0.590430738535333,0.418873165495836,0.620992684118887,0.562735881835113,0.469658806505701,NaN,NaN,NaN,0.53319690807482,1951626,1191126,260640515,1516477
Haemorrhage - flag,Binary (512px region),NaN,NaN,0.7109375,0.850467289719626,NaN,0.80609756097561,0.777555110220441,0.876182271084225,NaN,273,111,388,48
Haemorrhage - flag,Binary (whole image),NaN,NaN,1,1,NaN,1,NaN,NaN,NaN,27,0,0,0
Neovascularisation,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
